File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
config2_1024gpu_175B_with_compute-, 332988 (1.99%), 0 (0.00%), 1122224 (6.69%), 0 (0.00%), 0 (0.00%), 97018 (0.58%), 15217397 (90.74%), 1455211 (8.68%), 16769626
layer_name,Analytical_test,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
embedding_layer,Analytical_test,799,2478,0,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
embedding_layer,Analytical_test,799,2478,0,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
embedding_layer,Analytical_test,799,2478,0,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
embedding_layer,Analytical_test,799,2478,0,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
embedding_layer,Analytical_test,799,2478,0,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
embedding_layer,Analytical_test,799,2478,0,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
embedding_layer,Analytical_test,799,2478,0,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
embedding_layer,Analytical_test,799,2478,0,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
embedding_layer,Analytical_test,799,2478,0,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
mlp_layer,Analytical_test,2478,2478,2478,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
attention_layer,Analytical_test,1820,1820,1820,456,0,0,456,205.71,360.00,0,-nan,0.00,0,-nan,0.00
